name,slug,city,country,venue,website,startDate,endDate,status,approvalStatus,coverUrl,description
Printed Matter New York Art Book Fair,ny-art-book-fair-2026,New York,USA,MoMA PS1,https://printedmatterartbookfairs.org/,2026-09-24,2026-09-27,draft,pending,https://freight.cargo.site/w/1000/i/E3010091576609198333871017747418/screenshot-4211678161.jpg,"One of the largest events celebrating arts publishing, at MoMA PS1. Dedicated photography publishers section, rare books, zine tent, and programming. Ticketed entry, Sunday free. Source: LensCulture global guide."
ICP Photobook Fest,icp-photobook-fest-2026,New York,USA,,https://www.icp.org/content/icp-photobook-fest-2026,2026-05-08,2026-05-10,draft,pending,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800,"ICP hosts more than 75 publishers from around the world alongside talks, book signings, and project space exhibitions on the Lower East Side. Ticketed entry."
AIPAD: The Photography Show,aipad-photography-show-2026,New York,USA,,https://www.aipad.com/member/photobook-partners-sector,2026-04-22,2026-04-26,draft,pending,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800,"AIPAD hosts a Photobook section during The Photography Show, with artist talks, book signings, and panel discussions. Ticketed entry."
CPW Photobook and Zine Fair,cpw-photobook-zine-fair-2026,Kingston,USA,,https://cpw.org/photobookfair/,2026-08-08,2026-08-09,draft,pending,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800,"Hosted by the Center for Photography at Woodstock — over 30 publishers and artists for books, discussions, and zine making. Free entry."
Printed Matter Los Angeles Art Book Fair,la-art-book-fair-2026,Los Angeles,USA,,https://printedmatterartbookfairs.org/,2026-05-07,2026-05-10,draft,pending,https://freight.cargo.site/w/1000/i/E3010091576609198333871017747418/screenshot-4211678161.jpg,"Printed Matter’s West Coast fair; recent editions at ArtCenter College of Design in Pasadena. Ticketed entry, Sunday free day."
San Francisco Art Book Fair,san-francisco-art-book-fair-2026,San Francisco,USA,Minnesota Street Project,https://sfartbookfair.com/,2026-07-23,2026-07-26,draft,pending,https://freight.cargo.site/i/47a886ef2815c2939b6bca98c26116077446edd96c9f04ad13422a3cd8389e8d/86c4652b-13d8-0663-c29d-e3795cc62952.png,Multi-day event at Minnesota Street Project Foundation celebrating art publishing and print culture. Source: LensCulture global guide.
San Francisco Photobook Fair,san-francisco-photobook-fair-2026,San Francisco,USA,Harvey Milk Photo Center,https://www.harveymilkphotocenter.org/events/san-francisco-photobook-fair/,2026-10-17,2026-10-18,draft,pending,https://www.harveymilkphotocenter.org/wp-content/uploads/2026/05/20251018_SFPhotobookFair_HMPC_003-1.jpg,"30 publishers and vendors selling photography books, magazines, and zines at the Harvey Milk Photo Center. Free entry."
20/20 Photo Festival Photo Book Fair,2020-photo-festival-book-fair-2026,Philadelphia,USA,Cherry Street Pier,https://www.2020photofestival.org/photo-book-fair-1-1,2026-09-12,2026-09-12,draft,pending,http://static1.squarespace.com/static/609ca8775461c62a3abe3aa4/t/6a3d2d0116d478468a7e53ba/1782394114030/2020PF-2026-logo_horz.png?format=1500w,"One-day book fair as part of the 20/20 Photo Festival at Cherry Street Pier — artists, independent publishers, and art spaces. Free entry."
Pittsburgh Art Book Fair,pittsburgh-art-book-fair-2026,Pittsburgh,USA,Carnegie Museum of Art,https://pabf.cargo.site/,2026-10-31,2026-11-01,draft,pending,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800,"Held at the Carnegie Museum of Art — publishers of photography, design, and zines, plus readings, releases, and a book swap. Free entry."
Filter Photo Festival,filter-photo-festival-2026,Chicago,USA,,https://www.filterphoto.org/,2026-09-10,2026-09-13,draft,pending,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800,"Chicago photography festival with exhibitions, artist talks, a juried photobook exhibition, and publishing workshops. Dates approximate (not listed in LensCulture) — check filterphoto.org."
Multiple Formats,multiple-formats-2027,Boston,USA,,https://multipleformats.cargo.site/,2027-03-01,2027-03-31,draft,pending,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800,"Platform for conversations on artist books, advocacy, and distribution; one-day book fair during the yearly gathering. Month approximate (March 2027) — check multipleformats.cargo.site."
Contact Photobook Fair,contact-photobook-fair-2026,Toronto,Canada,,https://contactphoto.com/festival/2026/public-program/2026-contact-photobook-fair,2026-05-02,2026-05-02,draft,pending,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800,Held during CONTACT Photography Festival; programmed by The Photobook Lab. Free entry.
Vancouver Art Book Fair,vancouver-art-book-fair-2026,Vancouver,Canada,,https://vancouverartbookfair.com/,2026-05-15,2026-05-17,draft,pending,https://freight.cargo.site/w/1000/i/T3002278194866402226481773454152/screenshot-1442092112.jpg,"Three-day celebration of artists’ publishing with over one hundred publishers plus programs, performances, and artists’ projects. Free entry."
Zum Festival,zum-festival-2026,São Paulo,Brazil,Moreira Salles Institute,https://revistazum.com.br/,2026-11-01,2026-11-30,draft,pending,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800,"Annual event at the Moreira Salles Institute with talks, debates, workshops, exhibitions, and a photobook fair. Month approximate (November) — check revistazum.com.br."
FotoDoc Festival,fotodoc-festival-2026,São Paulo,Brazil,,https://fotodoc.com.br/en/,2026-11-01,2026-11-30,draft,pending,https://fotodoc.com.br/wp-content/uploads/2022/07/logo_9120.jpg,"Documentary photography festival with exhibitions, workshops, competitions, and a curated photobook bookstore. Month approximate (November 2026) — check fotodoc.com.br."
STGO FOTO,stegofoto-2026,Santiago,Chile,,https://stgofoto.com/,2026-07-30,2026-08-02,draft,pending,https://stgofoto.com/wp-content/uploads/2026/05/BannersWeb2.jpg,During Santiago’s Photography Month — book fair and programming of Latin American exhibitors. Source: LensCulture global guide.
Index Art Book Fair,index-art-book-fair-2027,Mexico City,Mexico,,https://indexartbookfair.com/,2027-01-14,2027-01-17,draft,pending,https://img1.wsimg.com/isteam/ip/4bc32851-0a0d-40cd-aa84-d95b8f08d1a1/FirmaIndex-2943204.jpg,"Annual book fair organized by kurimanzutto celebrating independent publishing, including ZINDEX for experimental publications. Free entry."
SUR FOTOLIBROS,sur-fotolibros-2027,Buenos Aires,Argentina,,https://www.instagram.com/sur.artexarte/,2027-05-13,2027-05-16,draft,pending,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800,"Photobook gathering in Buenos Aires with presentations, talks, workshops, screenings, exhibitions, and panel discussions."
Arles Books Fair,arles-books-fair-2026,Arles,France,,https://www.rencontres-arles.com/en/arles-books-fair-2026,2026-07-07,2026-07-11,draft,pending,https://arles-web-cdn.s3.eu-west-par.io.cloud.ovh.net/small_MG_5130_Didier_Goudal_HD_ABF_Bichro_RVB_09991c996d.jpg,"Organized by Photobook France — eighty international publishing houses focused on photography, plus signings, launches, and panels. Free entry. Source: LensCulture."
Paris Photo,paris-photo-2026,Paris,France,Grand Palais,https://www.parisphoto.com/,2026-11-12,2026-11-15,draft,pending,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800,"Major photography fair; Book sector features photography books, limited editions, and artist’s books. Ticketed entry. Source: LensCulture."
Offprint Paris,offprint-paris-2026,Paris,France,,https://www.offprint.org,2026-11-12,2026-11-15,draft,pending,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800,LUMA / Offprint fair during Paris Photo week — publishers across visual arts and design. Free entry. Source: LensCulture.
Polycopies,polycopies-2026,Paris,France,Concorde-Atlantique,http://www.polycopies.net/,2026-11-11,2026-11-15,draft,pending,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800,Photobook celebration on the Concorde-Atlantique boat and Seine quays during Paris Photo week. Free entry. Source: LensCulture.
