title,artist,artistExistsInDb,description,coverUrl,images,availability,purchaseLink
Reverie,Martin Amis,false,"reverie (n): a state of deep and often dreamy contemplation or daydreaming, where one's thoughts and imagination wander freely and without a fixed purpose. 

Martin Amis new photobook Reverie is a natural continuation of his previous work,  This Land.  It sees the photographer return to the Thames Estuary and it’s surrounding areas in North Kent, the tidal area where the River Thames meets the North Sea. Like dreams, this landscape, not quite land, not quite water, is an in-between space, neither here nor there. It is a landscape scored with stories of the past, as well as uncertainty around the future. 

People are absent from the images, yet there are traces of human presence: the skeletal hulks of ships, electricity lines and fences, polluted waters, and industrial pipes billowing smoke on the horizon. Through these subtle details, Amis alludes to the ongoing destruction of these rural areas, many of which have been earmarked for new housing developments.

The passing of time is evident throughout. As the book segues through the seasons, we are carried into a dreamlike flow, witnessing both the quiet strength and beauty of nature, while also recognising what we risk losing in destroying these precious habitats.

  Available to order here  

Designer: Tom Booth Woodger

	

Printer: MAS Matbaa, Istanbul
Binding: Hardback

Size: 300x240mm
Pages: 80
Images: 42",https://freight.cargo.site/t/original/i/77ae7736de982e9f5184b4c618d87dbf7546d1726807d39f757c19299546e29c/BC-RENDER-221215-v2.jpg,https://freight.cargo.site/t/original/i/dbbf3dc8c0281b482699192408979d1e001e6f8ad353fca005532eaaafa035e8/BC-RENDER-221215-v12.jpg|https://freight.cargo.site/t/original/i/0a0dda01d017f0654be9f0871c1b3e56f2d1eddc0deb2140283a6b33076457ea/BC-RENDER-221215-v13.jpg|https://freight.cargo.site/t/original/i/10904f70281736fd512c40a7393af1cf950da7e2a153f51292063c0841b13d6b/BC-RENDER-221215-v14.jpg|https://freight.cargo.site/t/original/i/3e5af2dd5287cd8e327524518292394c87c69da631b6b8373234fc0a4d255833/BC-RENDER-221215-v15.jpg|https://freight.cargo.site/t/original/i/1cc7e726488b7cde3004c5578b644a8151f61ec56ee509b04f8b294fedefab5c/BC-RENDER-221215-v16.jpg,available,https://photobookstore.co.uk/products/reverie-signed-pre-order
Lost in Kyoto,Yasuhiro Ogawa,false,"“I have been obsessed with Kyoto over the years because of the dense atmosphere the ancient city holds. That atmosphere must be the result of the essence of history that has gradually seeped into the land, brewing over time. In the 1,200 years since Kyoto was founded, many battles have been fought, much blood has been shed, and many people have died. The joys, sorrows, prayers, wishes, tears and struggles of so many people are layered on top of each other like a stratum, and as time goes by, the weight of these layers accumulates.

It is this kind of history of Kyoto that I have been trying to visualize over the past decade. Not history as a superficial record, but history as a ""living creature"" that has been nurtured and cultivated throughout people's lives. Yes, Kyoto's history deserves to be called a ""living creature."" It has a pulse; it breathes. I believe that the richness of Kyoto's air is generated by the body heat of history, history as a""living creature"".” 

- Yasuhiro Ogawa  

  Purchase here  

Co-published with Blue Lotus Editions

Designer: Katsuya Kato

Editor: Michitaka Ota
Printer: SunM Color Co.Ltd
Binding: Hardback with swiss-binding (open spine).  
Size: 305mm x 191mm
Pages: 100
Images: 96",https://freight.cargo.site/t/original/i/bfd684b83b890d69c3ac9da42def7b39eb55ad0dd5b298aa51db9ad43489d343/Kyoto-book-cover.jpg.jpeg,https://freight.cargo.site/t/original/i/951f6b20aa919775b5a452e06942c7603d7c1cd596eed4ef6736ec1b2ffd38f5/01.jpeg|https://freight.cargo.site/t/original/i/8371bc417c630eaf7aae6477f10b6cacc189aa9d638969057e53af96b7f1409e/09.jpeg|https://freight.cargo.site/t/original/i/bbe550871380f045ced91dcbb68b9c88571d31b70e1dda84bb1ea923d2daa527/10.jpeg|https://freight.cargo.site/t/original/i/479b6eabc720b07945bb68dadd1ca9b9f7326d60d1137bc3f70360597eee738c/24.jpeg|https://freight.cargo.site/t/original/i/ac9d65886e4f4c2ba8c075174a242a77b95d761f420fdf0c13b348e84417b62f/37.jpeg,available,https://photobookstore.co.uk/products/lost-in-kyoto-signed?srsltid=AfmBOooAd-48d4yEnFnF6roP5OcuPTbjhvhJNhoT3-l0Mp_tjmWRM8IU
Shimmers,,false,"“the way the light shimmers on the surface and the dark flip side of it all”  

Shimmers by Alison McCauley features an enigmatic sequence of images captured in the Côte d’Azur between 2013 and 2023.  The Côte d’Azur is a destination that’s invaded by visitors and tourists year upon year. It offers a hedonistic lifestyle that attracts many in search of escapism, pleasure and fast money; a great deal happens in the shadows here. 

“While working on this series, I often had a quote from Somerset Maugham in my head. He referred to the French Riviera as ‘a sunny place for shady people.’ This connected with what I saw and felt. It’s this contrast between the beautiful, shimmering surfaces and the dark, flip side that intrigues me. Shimmers is my love letter to this place … but it’s a pragmatic, eyes wide open kind of love.”  

- Alison McCauley

Printed in a mix of duotone and silver printing, Shimmers dares you to enter the dark heart of the French Riviera.

  Available to order here.  

Design: Tom Booth Woodger

Printing House: MAS, Matbaa
Printing: Duotone & Silver Printing
Size: 165x230mm
Pages: 104
Images: 50",https://freight.cargo.site/t/original/i/37139abe3ca32168b86b8fadf87919d65b8ba6e63718ca346d6cb797ea97617d/Shimmers-830-2.jpg,https://freight.cargo.site/t/original/i/904327cfcd622e9d31a43646f159a169c86470287bf67dc13d7038c62df233ff/Shimmers-832.jpg|https://freight.cargo.site/t/original/i/072949922f67fd351e69a48fe9b8f9789c58c89573793f3d21e164c3c3ed7c68/Shimmers-833.jpg|https://freight.cargo.site/t/original/i/cd47c2c29a074b9f8b850620e8295ffb39ecc0b12d59ba7475140fbe73be1fc7/Shimmers-834.jpg|https://freight.cargo.site/t/original/i/994b82786ddce5591f548bd14bd310908d9afed35fe0721ef72d98305b3ac01f/Shimmers-835.jpg|https://freight.cargo.site/t/original/i/2f51f6b4e5cb763216e591186b21114159d754f107a1515d755abfc3c8d582e9/Shimmers-836.jpg,available,https://photobookstore.co.uk/collections/photo-editions
Into the Silence,Yasuhiro Ogawa,false,"Yasuhiro Ogawa’s photobook  Into the Silence  captures the rugged yet timeless beauty of Japan’s northern region as he follows in the footsteps of the 17th Century poet Matsuo Bashō.

The story of Matsuo Bashō's journey through the northern provinces of Japan in the 17th century, is recounted in his travelogue ""The Narrow Road to the Deep North,” (""Oku no Hosomichi”). In the summer of 1689, Bashō set out on his journey with his traveling companion Sora. They traveled on foot, carrying only minimal provisions and staying in humble lodgings along the way. Bashō was seeking inspiration for his poetry, and he found it in the natural beauty and cultural richness of the places he visited.

Like Bashō before him, Ogawa set out on a journey through the Tōhoku region, unlike Bashō, who traveled on foot with pen in hand, Ogawa preferred to move by train with camera in hand.  His photographs capture the rugged beauty of the landscape, from snow-covered mountains to misty forests and along deserted roads with glimpses of wild oceans, often shot through foggy windows on a train in motion. Through his lens, Ogawa reveals a world that is both remote and timeless, a world in stillness and motion.

Despite the passage of centuries, the challenges faced by Bashō on his journey are still evident in Ogawa’s photographs. The loneliness and isolation of the road are palpable in the shots of empty trains, lone tracks or roads and desolate hotel interiors. So are the physical challenges of traversing rough terrain and inclement weather documented in his muted photographs.  There is a marked contrast between the beauty and tranquility of the landscape and the harsh realities of life in this remote region. From plain coastal towns to empty streets, Ogawa’s images reveal the toll that economic decline and depopulation have taken on the area. Yet there remains a sense of hope and resilience. 

-  Adapted from the afterword by Sarah Greene, Blue Lotus Gallery 

  Purchase  here 

Co-published with Blue Lotus Editions

Designer: Katsuya Kato

Editor: Michitaka Ota
Printer: SunM Color Co.Ltd
Binding: Softcover 1st edition (Hardback 2nd edition)
Size: 252mm x 246mm
Pages: 100
Images: 85",https://freight.cargo.site/t/original/i/e3473e60a7d8f8ace8d8d063e22bac6937d78dfbfc75f9ee523ea8694999494b/YO-LISTING-4.jpg,https://freight.cargo.site/t/original/i/8bd70b744858cd30f7571adc1161ad1faf99a8d9bf70355c8224c8d062f12207/YO-LISTING-9.jpg|https://freight.cargo.site/t/original/i/b42742e78b67d9b5b33f212d8fbd03fcf5b2e32352ce62961ef4e8e32863bdd8/YO-LISTING-8.jpg|https://freight.cargo.site/t/original/i/e857aeffef8080d1de1ca5a3641d36c21bd8088b66e9aec8409068be4ad0aa59/p07.jpg|https://freight.cargo.site/t/original/i/2e7f151024f5b5aedb726d45991404f913fefc2b33fa648a153c8babd260d287/YO-LISTING-7.jpg|https://freight.cargo.site/t/original/i/a27d192f2e12ac94a2a10e2be0c3dc07a93e0b34bcf8fb9839fbf3f384088856/YO-LISTING-5.jpg,available,https://photobookstore.co.uk/collections/photo-editions
Folly,Jamie Murray,false,"“He looked at me and asked, are you a man or a beast?  
I questioned if there is a difference between the two. 
There can be if you want, that’s the butterfly, that’s the aim, it just takes time.” 

The photographs in Folly, the debut photobook   from Jamie Murray, were born from a series of conversations with individuals who have been incarcerated. Discussions of what had led to punishment, navigating the prison environment and the transition to freedom flowed towards philosophy, ideas of discipline and punishment, intertwined with questions around natural order and spirituality. The resulting allegorical photographs in Folly refer, both directly and indirectly, to what was said and how these conversations affected Murray.   

Murray first began speaking to the individuals in 2017 in an attempt to understand more about their experience with the aim of making a documentary series within a prison. Most had been in numerous prisons over long periods of their life, often multiple times, and Murray hoped to document these meetings and brought along his camera. Some individuals would allow portraits, and others not. As the conversations evolved, so did the project, as the encounters led him to reflect upon his own life, choices and history with meandering thoughts and emotions relating to what had been discussed.

The pictures in the book begin with an imposing folly - an ornamental structure of no purpose, both foolish and excessively costly. The images that follow, a pile of coins glistening in the undergrowth, gathered crows, a fish gasping for breath outside water, rows of butterfly pupae, interweaved with haunting portraits of some of the individuals evoke a fractured narrative, a rumination on these conversations and the relationship between man and nature, co-existence and interference. 

Regular Edition: £40 
Special Edition: £100 (starting price)

  Available to purchase here.  

                  

-

Designer: Tom Booth Woodger
Printer: MAS Matbaa
Printing: CMYK + Varnish, + Silkscreen

Binding: Hardcover
Size: 245x296mm
Pages: 60
Images: 30
Paper: Arctic Volume Ivory +Fedrigoni Materica Gesso + Wibalin Natural Black
Font: BB Modern",https://freight.cargo.site/t/original/i/537b7338f69bce7886e7a6ebbbcb42c0b46f67f71bf1a8d8f8aeaea5500ca190/Jamie-Murray---Folly-232.jpg,https://freight.cargo.site/t/original/i/bc0c6dbcebd236f74ac1770ad0c5253eb97b0b9e13b7548d920f87430fd54c61/Jamie-Murray---Folly-234.jpg|https://freight.cargo.site/t/original/i/a0bdc3c5e41bfbdba561a9da63b80d74231ce15902f697cb3b3e3e5e49ed141d/Jamie-Murray---Folly-236.jpg|https://freight.cargo.site/t/original/i/694b2fbf13393a3da10a5941aefb27f61a4196f2d33766c5314e3844d7a827ea/Jamie-Murray---Folly-237.jpg|https://freight.cargo.site/t/original/i/a1b40f046d460afac90314f4c9ff65cd4c7e0952efbda789285ed242e161f849/Jamie-Murray---Folly-238.jpg|https://freight.cargo.site/t/original/i/34e07a1e782f9c60b84216239b47233f99cb393fd7ab8ba68884d55b200467bb/Jamie-Murray---Folly-240.jpg,available,https://photobookstore.co.uk/collections/vendors?q=Jamie%20Murray
Closed,Martin Amis,false,"Across the UK, town centres are undergoing a major transformation. Over the past decade, empty storefronts have become an increasingly familiar sight as businesses disappear from our high streets, leaving an atmosphere of uncertainty in their wake. In 2021 alone, more than 17,000 stores shut down nationwide – the combined result of the growth of out-of-town retail, the rise of megastores and more recently a shift towards online shopping, all exacerbated by a global pandemic.

 
While working on his previous project This Land, Martin Amis noticed the prevalence of closed premises, and began to explore this phenomenon further. Between 2019 and 2022, Amis photographed closed shops across Kent, gradually building a picture of how British towns are being reshaped by the decline of the high street. From pubs, post offices and bookshops to newsagents and social clubs, these spaces once served a vital role for communities. Focusing on the overlooked elements and architectural details, Amis captures the multiple layers of these buildings as they have morphed over the years, each revealing signs of social change.

Photographed in deadpan monochrome, these vacant storefronts are symbolic of a greater loss: the sense of community and cultural identity these spaces foster. The social spirit of local pubs and daily conversations in the corner shop are just some of the simple but crucial elements that help people feel less isolated and alone. In Closed, Amis presents a picture of the changing face of Britain through the microcosm of the high street. These ghost streets speak of the fragmentation of communities, an uncertain future and the ongoing evolution of Britain’s urban spaces.

Watch a video flip through at the bottom of this page ↓

Regular Edition: £50 
Special Edition: £150 (slipcased, each with a unique print)

  Available to purchase here.  

-

Designer: Tom Booth Woodger
Printer: MAS Matbaa
Printing: Tri-tone + Varnish

Binding: Hardcover, Spiral Bound
Size: 240x285mm
Pages: 98
Images: 53
Paper: Gardapat 13 Kiara 135gsm + Wibalin Natural Black
Font: Neue Haas Grostek",https://freight.cargo.site/t/original/i/a7c09afce88756e47d4054ac45415283c59a2c800b54179ac5ddf144ded57577/Closed-186.jpg-2.jpg,https://freight.cargo.site/t/original/i/4a177d2beffae952cf91b179d8a97c831b9b59db4ad7f7d0a118c30553cd831d/Closed-188.jpg|https://freight.cargo.site/t/original/i/44898eb2203fbd7db46540a2284b78621f480aa0c1bb8769f0a61c72e86a01c2/Closed-190.jpg|https://freight.cargo.site/t/original/i/effbfd959e5d8e1edf831dd9c4492c0c6728d95365615188765f4823973efcea/Closed-191.jpg|https://freight.cargo.site/t/original/i/f1e4b28852d12ac7400cf11cf695f4af90bcc3cab4be69c929580d8b77166d62/Closed-192.jpg|https://freight.cargo.site/t/original/i/56568d7057b2a4b82810d319cb2127299fb57514973dc5400792bfd5e72359bd/Closed-193.jpg,available,http://photobook.link/closed
Portlanders,Nick Gervin,false,"“The deeper I dug, the more the city shared it’s secrets with me.”   

In his debut monograph, Nick Gervin presents a surreal look into the flip-side of American culture, all captured on the stage of the small city of Portland, Maine.

In December 2008, Gervin suffered a traumatic head injury after being assaulted, an event that would dramatically alter the course of his life. Barely able to afford rent after having recently been laid off from work in the fallout of the recession, he swiftly spiralled into poverty and addiction – a situation exacerbated by his injury, the second head trauma he’d experienced in his lifetime. Diagnosed with Post-Concussion syndrome, Gervin developed severe sensitivity to light and sound and experienced debilitating migraines which left him feeling like a “prisoner in his own body”. Favouring the dark, quiet nights over the chaos of daytime, it was during these periods of solitude and broken sleep that Gervin rediscovered photography, nocturnally roaming the streets with his camera and finding a renewed sense of purpose in the process.

What followed was a ten year pursuit of photographing the many layers of his home city which saw him capturing everything from protest marches to wrestling bouts to drunken night-time brawls and even venturing down into the long forgotten subterranean networks of tunnels beneath. As Gervin explains, “I was driven by my anxieties, trying to stay sober while I attempted to make sense of what I saw. I was making a record of a place in time; a portrait of a city that I’ve grown a deep attachment to. As time went on and I felt compelled to continue the work, I realised it was not just myself but also the city and it’s Portlanders that were at a crossroads.”

Watch a video flip through at the bottom of this page ↓

Regular Edition: £40  
Special Edition: £85 (starting price* + two print options)

  Available to purchase here.  

-

Designer: Tom Booth Woodger
Printer: MAS Matbaa
Printing: Tri-tone + Varnish

Binding: Flush Cut Hardback + Oversized reverse french fold dust jacket
Size: 240x285mm
Pages: 88
Images: 53
Paper: Gardapat 13 Kiara 135gsm + Munken Pure Rough

 Font: ABC Diatype Mono",https://freight.cargo.site/t/original/i/09914073fa46eac4557d0127eb58fdd7d6cd493490492ba51d71fdc6cbb50bea/Portlanders_781-2.jpg,https://freight.cargo.site/t/original/i/7aaf3b55b4c0b009c45626064b9eceb419811aa68238bfd9814159976aad9442/Portlanders_783.jpg|https://freight.cargo.site/t/original/i/2eb7738ef7a6134544e09950e75f4a7d781705ec149128a9416f4a37283dedde/Portlanders_784.jpg|https://freight.cargo.site/t/original/i/6d43a5775e4cb5caf117ef0acd9ebda64a626657fdb80ac52df4edca50c06957/Portlanders_785.jpg|https://freight.cargo.site/t/original/i/aba826d06342db7216ce87998c20b92b649f61b9dae290b00b0b242c7b3796ad/Portlanders_786.jpg|https://freight.cargo.site/t/original/i/bb2bb81f82c73da0d1c20df78f19c935976a9332a19af8182d14e787b0f46d96/Portlanders_787.jpg,available,https://photobookstore.co.uk/collections/vendors?q=Nick%20Gervin
Silent Coast,Rob Ball,false,"The coastline is an intrinsic part of British identity. Associated with freedom and escape, coastal towns have always drawn those seeking respite from landlocked cities, with seaside resorts serving a primary purpose: to entertain. In Silent Coast Rob Ball shows a different reality. Travelling the length of the English coastline, he captures the structures built along the edge – and in the process reflects on their vulnerability in the face of change. 

Out of season these coastal resorts seem far removed from the fun they were designed to offer, revealing carefully manufactured environments, fortified by borders and surveillance. Silent Coast exposes the fragility that exists beneath the facade, a coast open to shifting economic forces and rapid environmental change. Devoid of people, the monochrome scenes reflect on the homogeneity of the coast; without place or time markers, resisting identification yet remaining deeply familiar.

Watch a video flip through at the bottom of this page ↓

Regular Edition: £30  
Special Edition: £95 (starting price, slipcase + two print options)

  Available to purchase here.  

-

Designer: Tom Booth Woodger

Printer: MAS Matbaa
Printing: Tritone + Varnish with inverted varnish plate (cover & internal pages)
Size: 240x282mm
Pages: 92
Images: 46
Paper: Gardapat Kiara 135gsm, Exprint 350gsm
Font: Letter Gothic Std",https://freight.cargo.site/t/original/i/d2bee5782508b54774d94c034dc71f7f03c733e0063a2c4f3efabd7dc2197447/Silent-Coast-220.jpg,https://freight.cargo.site/t/original/i/67b0658937e2dd406aa693d208799c9e7e66c09d71241c15d8b768cf7275db64/Silent-Coast-222.jpg|https://freight.cargo.site/t/original/i/132e7bee8c75139240ad6005c67a21324bbbd8dbb4314f0da226a2a51dbccccb/Silent-Coast-318.jpg|https://freight.cargo.site/t/original/i/f6d25ee0d295956e46b13dc21876158ba8c8da34c5042d5fd7f75404ab4840f9/Silent-Coast-223.jpg|https://freight.cargo.site/t/original/i/3403a4d56a29896ad65e895c11d01f2f5a259e552f061d506d681a1de5b7708a/Silent-Coast-224.jpg|https://freight.cargo.site/t/original/i/f09e23d47acca5900d19815392502847480410f056bd25563c0ed0e131a82ee1/Silent-Coast-225.jpg,available,https://photobookstore.co.uk/collections/vendors?q=Rob%20Ball
Anywhere but here,Alison McCauley,false,"“In Anywhere but here, Alison McCauley expresses the restless feeling that has haunted her throughout her life: that the place she is in isn’t where she should be, and a conviction that the next place will be better.

Taken from 2008 to present, these images—taken in various locations around the world are a deeply personal reflection of the artist’s emotions, photography being a cathartic means of coming to terms with her constant desire to move. As someone who has always led a semi-nomadic lifestyle, McCauley seeks to explore the idea of not belonging. Though she feels like she is supposed to belong somewhere, McCauley doesn't want to, as she recognises that it is the wonder of this belonging that is the impetus behind her work.

Devoid of geographical and temporal reference points, the images are figuratively and literally blurred to emphasise that this is not about a location or time, but rather a state of mind. For the viewer the series takes on a narrative of its own, unfolding like a dream sequence: a body submerged in water, a flurry of balloons released into the open sky, city lights streaming through a hotel room, and fleeting scenes captured from a car window. Just as she is drawn to movement, it is these liminal spaces that the artist gravitates towards – the chaos, the stillness, and the magic in between. “The work comes from reality, but it’s a reality that’s distorted by subjectivity,” says McCauley. “It’s an expression of my state of mind during these restless off-moments.

Watch a video flip through at the bottom of this page ↓

Regular Edition: £35
Special Edition: £85 (starting price, two print options)

  Available to purchase here.  

-

Designer: Tom Booth Woodger

Printer: MAS, Matbaa
Printing: Duotone (cover & internal pages)
Size: 140x175mm
Pages: 108
Images: 43
Paper: Gardapat Kiara 1.3

Font: GT Amerika",https://freight.cargo.site/t/original/i/4b1e68525d670280467f11ceeacb24cf61e62440f39ccb121e72de6443c25039/Anywhere--418-2.jpg,https://freight.cargo.site/t/original/i/5d9d8a90f9a77500ed02614f167153fa7b28c8286e1d232d29d76c9c76e1f986/Anywhere--420.jpg|https://freight.cargo.site/t/original/i/eda644b2d9ca100fb24a487c15b5ad52e04f911cb1e757b2a98696fdd73ae02d/Anywhere--421.jpg|https://freight.cargo.site/t/original/i/2e638e0aaeab261eea10365e48f1a3a3ab9aa787fdf24f81fa487538d6a4e985/Anywhere--422.jpg|https://freight.cargo.site/t/original/i/51a17ae30ccfb213b901c17551fad6652fb9f75cca5e175cab37c590290d6ce8/Anywhere--423.jpg|https://freight.cargo.site/t/original/i/ddc560713954009e535d466167042ecbcd512fa4982542d01278353c29a850b9/Anywhere--424.jpg,available,https://photobookstore.co.uk/products/anywhere-but-here
This Land,Martin Amis,false,"“The sheep stopped in their eating and looked timidly at us;
and the cattle, their heads turned from the wind and sleet,
stared angrily as if they held us responsible for both annoyances;
but, except these things, and the shudder of the dying day in every blade of grass,
there was no break in the bleak stillness of the marshes.”

- Charles Dickens, Great Expectations

Situated on the Thames Estuary in southeast England, the North Kent Marshes are an overlooked but vital swathe of land. For centuries, trade has flowed in through the estuary and the surrounding wilderness harbours a rich history. In the 18th century, plague outbreaks ravaged Europe and ships were quarantined in the nearby Medway. The low-lying terrain provided the ideal conditions for smugglers, as small vessels would target ships transporting goods to the capital, allegedly sneaking the contraband down underground tunnel networks once ashore. It was against this illicit backdrop that Charles Dickens set the early parts of Great Expectations (1861), where the escaped convict Magwitch takes refuge in the marshes.

Since 2011, Martin Amis has been photographing in the same marshland near his home, finding solace in the landscape through walking. This Land is the result of many walks over the past decade – much in the period from March 2020, coinciding with the UK’s first coronavirus lockdown. Devoid of people, Amis’ images invite a reconnection with nature: derelict industry reclaimed by the wild, grazing sheep and lone birds drifting across a monotone sky. Despite an undertone of loss and absence, Amis portrays a land that is continually being shaped by the elements and the civilisations that pass through it. If we listen closely, we might almost hear the shouts of the night watch over the gulf of time and the creaking prison hulks that once inspired Dickens.

Watch a video flip through at the bottom of this page ↓

Regular Edition: £35 (signed)

Special Edition: £95 (starting price, two print options)
 
 Available to purchase here.  

-

Designer: Tom Booth Woodger

	Reprographics: Colour & Books, Sebbastiaan Hankeroot

Printer: Wilco Art Books, NL
Printing: Tritone
Cover Printing: Double hit silver
Size: 300x240mm
Pages: 72
Images:39
Paper: Munken Lynx Rough 150gsm 
Cover paper: Clairefontaine Trophee Black 280gsm & Materica Pitch 270gsm",https://freight.cargo.site/t/original/i/052fcffa08e86d3b0c92f12720f22e42c85b7ff487269ff7d135bf5c23609e5a/This-Land---866-2.jpg,https://freight.cargo.site/t/original/i/7f4c43c9baa10d26a0d7f723e6bdb0a5dc455c74b20fdb53ff94ed0fc4770b19/This-Land---869.jpg|https://freight.cargo.site/t/original/i/09688301310d5b7a8ed3b1bacd19aee17d75594668ad260285a209076552cf48/This-Land---870.jpg|https://freight.cargo.site/t/original/i/84e7a2bd923902e700e7ce99953ab0e2a41b6c8e5f63e7c8eeadad5b5717d91c/This-Land---871.jpg|https://freight.cargo.site/t/original/i/31091a1c681a13b59b1d6ef12c493e5acfdf0a743ab6f5008585b8109ca51de1/This-Land---872.jpg|https://freight.cargo.site/t/original/i/29bf9a687d95f6d17d4a5e0de932488c371c75fc9947cb769f3832eb162ead17/This-Land---873.jpg,available,https://photobookstore.co.uk/products/this-land-signed?_pos=1&_psq=this-land&_ss=e&_v=1.0
